Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
1986,NL West,96,66,1,4.04,162,6095,5441,654,1388,244,32,125,613,163,75,536,916,0.255,0.322,0.381,0.703,130,108,0.979,29.9
1985,NL West,83,79,3,4.36,162,6192,5582,706,1457,261,42,121,666,96,56,477,873,0.261,0.319,0.388,0.707,152,159,0.976,29.9
1984,NL West,80,82,2,4.28,162,6201,5548,693,1465,222,67,79,640,105,61,494,837,0.264,0.323,0.371,0.694,133,160,0.979,30.1
1983,NL West,85,77,3,3.97,162,6173,5502,643,1412,239,60,97,615,164,95,517,869,0.257,0.32,0.375,0.695,147,165,0.977,29.1
1982,NL West,77,85,5,3.51,162,6009,5440,569,1342,236,48,74,533,140,61,435,830,0.247,0.302,0.349,0.651,136,154,0.978,29.4
1981,NL West,61,49,3,3.58,110,4156,3693,394,948,160,35,45,369,81,43,340,488,0.257,0.318,0.356,0.673,87,81,0.98,28.9
1980,NL West,93,70,1,3.91,163,6254,5566,637,1455,231,67,75,599,194,74,540,755,0.261,0.326,0.367,0.693,140,145,0.978,28.7
1979,NL West,89,73,2,3.6,162,6029,5394,583,1382,224,52,49,542,190,95,461,745,0.256,0.315,0.344,0.659,138,146,0.978,27.2
1978,NL West,74,88,5,3.73,162,6035,5458,605,1408,231,45,70,557,178,59,434,743,0.258,0.313,0.355,0.668,133,109,0.978,27.1
1977,NL West,81,81,3,4.2,162,6201,5530,680,1405,263,60,114,638,187,72,515,839,0.254,0.32,0.385,0.705,142,136,0.978,27.5
1976,NL West,80,82,3,3.86,162,6113,5464,625,1401,195,50,66,571,150,57,530,719,0.256,0.322,0.347,0.669,140,155,0.978,26.6
1975,NL West,64,97,6,4.1,162,6212,5515,664,1401,218,54,84,606,133,62,523,762,0.254,0.32,0.359,0.679,137,166,0.979,26.3
1974,NL West,81,81,4,4.03,162,6120,5489,653,1441,222,41,110,603,108,65,471,864,0.263,0.322,0.378,0.7,113,161,0.982,26.8
1973,NL West,82,80,4,4.2,162,6155,5532,681,1391,216,35,134,634,92,48,469,962,0.251,0.312,0.376,0.688,116,140,0.981,28
1972,NL West,84,69,3,4.63,153,5936,5267,708,1359,233,38,134,660,111,56,524,907,0.258,0.326,0.393,0.719,116,151,0.98,27.4
1971,NL West,79,83,4,3.61,162,6105,5492,585,1319,230,52,71,547,101,51,478,888,0.24,0.302,0.34,0.642,106,152,0.983,26.1
1970,NL West,79,83,4,4.59,162,6306,5574,744,1446,250,47,129,694,114,41,598,911,0.259,0.332,0.391,0.722,140,144,0.978,26.6
1969,NL West,81,81,5,4.17,162,6197,5348,676,1284,208,40,104,618,101,58,699,972,0.24,0.33,0.352,0.683,153,136,0.975,26.5
1968,NL,72,90,10,3.15,162,5994,5336,510,1233,205,28,66,473,44,51,479,988,0.231,0.298,0.317,0.616,156,129,0.975,25.6
1967,NL,69,93,9,3.86,162,6178,5506,626,1372,259,46,93,581,88,38,537,934,0.249,0.317,0.364,0.68,159,120,0.974,26
1966,NL,72,90,8,3.75,163,6172,5511,612,1405,203,35,112,570,90,47,491,885,0.255,0.318,0.365,0.683,174,126,0.972,25.7
1965,NL,65,97,9,3.51,162,6122,5483,569,1299,188,42,97,523,90,37,502,877,0.237,0.305,0.34,0.644,166,130,0.974,26.9
1964,NL,66,96,9,3.06,162,5859,5303,495,1214,162,41,70,452,40,48,381,872,0.229,0.285,0.315,0.599,149,124,0.976,28
1963,NL,66,96,9,2.86,162,5986,5384,464,1184,170,39,62,420,39,30,456,938,0.22,0.283,0.301,0.584,162,100,0.974,27
1962,NL,64,96,8,3.65,162,6201,5558,592,1370,170,47,105,549,42,30,493,806,0.246,0.31,0.351,0.661,173,149,0.973,29.5
