Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
1972,AL West,54,100,6,2.99,154,5681,5029,461,1092,166,17,56,424,126,73,503,926,0.217,0.29,0.29,0.581,166,147,0.972,26.1
1971,AL East,63,96,5,3.38,159,5987,5290,537,1219,189,30,86,501,68,45,575,956,0.23,0.307,0.326,0.634,141,170,0.977,27.6
1970,AL East,70,92,6,3.86,162,6223,5460,626,1302,184,28,138,583,72,42,635,989,0.238,0.321,0.358,0.679,116,173,0.982,28.1
1969,AL East,86,76,4,4.28,162,6196,5447,694,1365,171,40,148,640,52,40,630,900,0.251,0.33,0.378,0.708,140,159,0.978,27.8
1968,AL,65,96,10,3.25,161,5972,5400,524,1208,160,37,124,489,29,19,454,960,0.224,0.287,0.336,0.623,148,144,0.976,26.9
1967,AL,76,85,6,3.42,161,6044,5441,550,1211,168,25,115,521,53,37,472,1037,0.223,0.288,0.326,0.614,144,167,0.978,26.7
1966,AL,71,88,8,3.5,159,5906,5318,557,1245,185,40,126,525,53,37,450,1069,0.234,0.295,0.355,0.65,142,139,0.977,27.5
1965,AL,70,92,8,3.65,162,6078,5374,591,1227,179,33,136,563,30,19,570,1125,0.228,0.304,0.35,0.654,143,148,0.977,28.4
1964,AL,62,100,9,3.57,162,6037,5396,578,1246,199,28,125,528,47,30,514,1124,0.231,0.299,0.348,0.647,127,145,0.979,28.6
1963,AL,56,106,10,3.57,162,6072,5446,578,1237,190,35,138,538,68,28,497,963,0.227,0.293,0.351,0.644,182,165,0.971,28.6
1962,AL,60,101,10,3.7,162,6073,5484,599,1370,206,38,132,566,99,53,466,789,0.25,0.308,0.373,0.682,139,160,0.978,28.5
1961,AL,61,100,9,3.84,161,6062,5366,618,1307,217,44,119,578,81,47,558,917,0.244,0.315,0.367,0.682,156,171,0.975,29.3
