Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
1978,NL East,76,86,4,3.91,162,6064,5530,633,1404,269,31,121,589,80,42,396,881,0.254,0.306,0.379,0.685,134,150,0.979,27.2
1977,NL East,75,87,5,4.1,162,6282,5675,665,1474,294,50,138,622,88,50,478,877,0.26,0.318,0.402,0.72,129,128,0.98,26.4
1976,NL East,55,107,6,3.28,162,5996,5428,531,1275,224,32,94,507,86,44,433,841,0.235,0.291,0.34,0.631,155,179,0.976,25.1
1975,NL East,75,87,5,3.71,162,6272,5518,601,1346,216,31,98,542,108,58,579,954,0.244,0.317,0.348,0.664,180,179,0.973,24.7
1974,NL East,79,82,4,4.11,161,6190,5343,662,1355,201,29,86,610,124,49,652,812,0.254,0.335,0.35,0.686,153,157,0.976,27.7
1973,NL East,79,83,4,4.12,162,6255,5369,668,1345,190,23,125,613,77,68,695,777,0.251,0.34,0.364,0.704,163,156,0.974,27.7
1972,NL East,70,86,5,3.29,156,5820,5156,513,1205,156,22,91,462,68,66,474,828,0.234,0.303,0.325,0.628,134,141,0.978,26.9
1971,NL East,71,90,5,3.84,162,6098,5335,622,1312,197,29,88,567,51,43,543,800,0.246,0.322,0.343,0.666,150,164,0.976,28.3
1970,NL East,73,89,6,4.24,162,6251,5411,687,1284,211,35,136,646,65,45,659,972,0.237,0.323,0.365,0.687,141,193,0.977,27.7
1969,NL East,52,110,6,3.59,162,6073,5419,582,1300,202,33,125,542,52,52,529,962,0.24,0.31,0.359,0.669,184,179,0.971,27.6
