Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
1993,AL West,84,78,3,4.17,162,6101,5522,675,1455,294,35,125,641,100,75,428,936,0.263,0.32,0.397,0.717,97,150,0.984,30.1
1992,AL West,72,90,5,3.77,162,6084,5501,610,1411,284,42,75,568,131,71,439,741,0.256,0.315,0.364,0.679,122,164,0.98,28.9
1991,AL West,82,80,6,4.49,162,6244,5584,727,1475,290,41,117,689,119,68,523,969,0.264,0.328,0.394,0.722,125,141,0.98,28.6
1990,AL West,75,86,6,4.39,161,6099,5488,707,1465,316,44,100,660,107,62,498,879,0.267,0.328,0.395,0.723,122,161,0.98,29.8
1989,AL West,92,70,2,4.26,162,6151,5475,690,1428,227,41,101,653,154,51,554,897,0.261,0.329,0.373,0.702,114,139,0.982,30.5
1988,AL West,84,77,3,4.37,161,6086,5469,704,1419,275,40,121,671,137,54,486,944,0.259,0.321,0.391,0.712,124,147,0.98,29.5
1987,AL West,83,79,2,4.41,162,6128,5499,715,1443,239,40,168,677,125,43,523,1034,0.262,0.328,0.412,0.74,131,151,0.979,29.3
1986,AL West,76,86,3,4.04,162,6128,5561,654,1403,264,45,137,618,97,46,474,919,0.252,0.313,0.39,0.703,123,153,0.98,30.9
1985,AL West,91,71,1,4.24,162,6095,5500,687,1384,261,49,154,657,128,48,473,840,0.252,0.313,0.401,0.714,127,160,0.98,30.9
1984,AL West,84,78,1,4.15,162,6065,5543,673,1487,269,52,117,639,106,64,400,832,0.268,0.317,0.399,0.716,131,157,0.979,29.5
1983,AL West,79,83,2,4.27,163,6083,5598,696,1515,273,54,109,653,182,47,397,722,0.271,0.32,0.397,0.717,165,178,0.974,30.2
1982,AL West,90,72,2,4.84,162,6178,5629,784,1603,295,58,132,746,133,48,442,758,0.285,0.337,0.428,0.765,127,140,0.979,30.4
1981,AL West,50,53,4,3.85,103,3941,3560,397,952,169,29,61,381,100,53,301,419,0.267,0.325,0.383,0.707,72,94,0.982,29.2
1980,AL West,97,65,1,4.99,162,6357,5714,809,1633,266,59,115,766,185,43,508,709,0.286,0.345,0.413,0.758,141,150,0.978,27.7
1979,AL West,85,77,2,5.25,162,6350,5653,851,1596,286,79,116,791,207,76,528,675,0.282,0.343,0.422,0.766,146,160,0.977,27.9
1978,AL West,92,70,1,4.59,162,6129,5474,743,1469,305,59,98,695,216,84,498,644,0.268,0.329,0.399,0.728,150,153,0.976,27.2
1977,AL West,102,60,1,5.07,162,6268,5594,822,1549,299,77,146,773,170,87,522,687,0.277,0.34,0.436,0.776,137,145,0.978,27.6
1976,AL West,90,72,1,4.4,162,6199,5540,713,1490,259,57,65,656,218,106,484,650,0.269,0.327,0.371,0.699,139,147,0.978,27
1975,AL West,91,71,2,4.38,162,6231,5491,710,1431,263,58,118,667,155,75,591,675,0.261,0.333,0.394,0.727,155,151,0.976,28.1
1974,AL West,77,85,5,4.12,162,6267,5582,667,1448,232,42,89,623,146,76,550,768,0.259,0.327,0.364,0.691,152,166,0.976,27.4
1973,AL West,88,74,2,4.66,162,6274,5508,755,1440,239,40,114,703,105,69,644,696,0.261,0.339,0.381,0.72,167,192,0.974,27.6
1972,AL West,76,78,4,3.77,154,5849,5167,580,1317,220,26,78,547,85,44,534,711,0.255,0.327,0.353,0.679,116,164,0.981,27.7
1971,AL West,85,76,2,3.75,161,5914,5295,603,1323,225,40,80,573,130,46,490,819,0.25,0.313,0.353,0.666,132,178,0.979,27.2
1970,AL West,65,97,4,3.77,162,6129,5503,611,1341,202,41,97,572,97,53,514,958,0.244,0.309,0.348,0.657,152,162,0.976,26.4
1969,AL West,69,93,4,3.6,163,6124,5462,586,1311,179,32,98,538,129,70,522,901,0.24,0.309,0.338,0.648,157,114,0.975,25.7
