Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
1972,NL East,96,59,1,4.46,155,6023,5490,691,1505,251,47,110,654,49,30,404,871,0.274,0.324,0.397,0.721,136,171,0.978,27.9
1971,NL East,97,65,1,4.86,162,6285,5674,788,1555,223,61,154,744,65,31,469,919,0.274,0.33,0.416,0.746,133,164,0.979,27.6
1970,NL East,89,73,1,4.5,162,6231,5637,729,1522,235,70,130,676,66,34,444,871,0.27,0.325,0.406,0.731,137,195,0.979,27.7
1969,NL East,88,74,3,4.48,162,6235,5626,725,1557,220,52,119,651,74,34,454,944,0.277,0.334,0.398,0.732,155,169,0.975,27.2
1968,NL,80,82,6,3.58,163,6163,5569,583,1404,180,44,80,538,130,59,422,953,0.252,0.306,0.343,0.65,139,162,0.979,29.7
1967,NL,81,81,6,4.17,163,6257,5724,679,1585,193,62,91,615,79,37,387,914,0.277,0.324,0.38,0.704,141,186,0.978,29.2
1966,NL,92,70,3,4.69,162,6230,5676,759,1586,238,66,158,715,64,60,405,1011,0.279,0.329,0.428,0.757,141,215,0.978,28.2
1965,NL,90,72,3,4.14,163,6250,5686,675,1506,217,57,111,631,51,38,419,1008,0.265,0.317,0.382,0.699,152,189,0.977,28.1
1964,NL,80,82,6,4.09,162,6119,5566,663,1469,225,54,121,630,39,33,408,970,0.264,0.315,0.389,0.704,177,179,0.972,27.8
1963,NL,74,88,8,3.5,162,6111,5536,567,1385,181,49,108,523,57,41,454,940,0.25,0.309,0.359,0.668,182,195,0.972,27.6
1962,NL,93,68,4,4.39,161,6034,5483,706,1468,240,65,108,655,50,39,432,836,0.268,0.321,0.394,0.715,152,177,0.976,29.7
1961,NL,75,79,6,4.51,154,5867,5311,694,1448,232,57,128,646,26,30,428,721,0.273,0.328,0.41,0.738,150,187,0.975,29.3
1960,NL,95,59,1,4.74,155,6030,5406,734,1493,236,56,120,689,34,24,486,747,0.276,0.335,0.407,0.743,128,163,0.979,28.6
1959,NL,78,76,4,4.2,155,5953,5369,651,1414,230,42,112,617,32,26,442,715,0.263,0.32,0.384,0.704,154,165,0.975,27.9
1958,NL,84,70,2,4.3,154,5781,5247,662,1386,229,68,134,625,30,15,396,753,0.264,0.317,0.41,0.727,133,173,0.978,26.5
1957,NL,62,92,7,3.78,155,5942,5402,586,1447,231,60,92,551,46,35,374,733,0.268,0.315,0.384,0.699,170,143,0.972,26.1
1956,NL,66,88,7,3.75,157,5757,5221,588,1340,199,57,110,546,24,33,383,752,0.257,0.307,0.38,0.687,162,140,0.973,25.2
1955,NL,60,94,8,3.64,154,5789,5173,560,1262,210,60,91,532,22,22,471,652,0.244,0.308,0.361,0.668,166,175,0.972,25.5
1954,NL,53,101,8,3.62,154,5837,5088,557,1260,181,57,76,526,21,13,566,737,0.248,0.323,0.35,0.673,173,136,0.971,26.2
1953,NL,50,104,8,4.04,154,5903,5253,622,1297,178,49,99,571,41,39,524,715,0.247,0.319,0.356,0.675,163,139,0.973,26.8
1952,NL,42,112,8,3.32,155,5777,5193,515,1201,181,30,92,478,43,41,486,724,0.231,0.3,0.331,0.631,182,167,0.97,26.2
1951,NL,64,90,7,4.45,155,5973,5318,689,1372,218,56,137,648,29,27,557,615,0.258,0.331,0.397,0.728,170,178,0.972,28
1950,NL,57,96,8,4.42,154,5978,5327,681,1404,227,59,138,634,43,48,564,693,0.264,0.338,0.406,0.744,136,165,0.977,28.6
1949,NL,71,83,6,4.42,154,5933,5214,681,1350,191,41,126,626,48,56,548,554,0.259,0.332,0.384,0.716,132,173,0.978,28.9
1948,NL,83,71,4,4.53,156,5948,5286,706,1388,191,54,108,650,68,60,580,578,0.263,0.338,0.38,0.718,137,150,0.977,28.8
1947,NL,62,92,7,4.78,156,6008,5307,745,1385,216,44,156,699,30,47,607,687,0.261,0.34,0.406,0.746,149,131,0.975,28.7
1946,NL,63,91,7,3.56,155,5909,5199,552,1300,202,52,60,508,48,54,592,555,0.25,0.328,0.344,0.672,184,127,0.97,29.2
