Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2007,NL West,82,80,4,4.54,162,6282,5614,735,1544,276,35,129,706,137,50,511,864,0.275,0.337,0.406,0.743,114,160,0.981,29.7
2006,NL West,88,74,2,5.06,162,6394,5628,820,1552,307,58,153,787,128,49,601,959,0.276,0.348,0.432,0.781,115,174,0.982,29.9
2005,NL West,71,91,4,4.23,162,6134,5433,685,1374,284,21,149,653,58,35,541,1094,0.253,0.326,0.395,0.721,106,141,0.983,28.7
2004,NL West,93,69,1,4.7,162,6244,5542,761,1450,226,30,203,731,102,41,536,1092,0.262,0.332,0.423,0.755,73,145,0.988,28.9
2003,NL West,85,77,2,3.54,162,6036,5458,574,1328,260,25,124,544,80,36,407,985,0.243,0.303,0.368,0.671,119,164,0.981,29.9
2002,NL West,92,70,3,4.4,162,6146,5554,713,1464,286,29,155,693,96,37,428,940,0.264,0.32,0.409,0.729,90,134,0.985,30
2001,NL West,86,76,3,4.68,162,6169,5493,758,1399,264,27,206,714,89,42,519,1062,0.255,0.323,0.425,0.748,116,138,0.981,30.2
2000,NL West,86,76,2,4.93,162,6312,5481,798,1408,265,28,211,756,95,42,668,1083,0.257,0.341,0.431,0.771,135,151,0.978,29.6
1999,NL West,77,85,3,4.9,162,6338,5567,793,1480,253,23,187,761,167,68,594,1030,0.266,0.339,0.42,0.76,137,137,0.978,29.2
1998,NL West,83,79,3,4.13,162,6158,5459,669,1374,209,27,159,630,137,53,447,1056,0.252,0.31,0.387,0.698,134,154,0.978,28.3
1997,NL West,88,74,2,4.58,162,6216,5544,742,1488,242,33,174,706,131,64,498,1079,0.268,0.33,0.418,0.748,116,104,0.981,29.3
1996,NL West,90,72,2,4.34,162,6185,5538,703,1396,215,33,150,661,124,40,516,1190,0.252,0.316,0.384,0.701,125,143,0.98,27.9
1995,NL West,78,66,1,4.4,144,5544,4942,634,1303,191,31,140,593,127,45,468,1023,0.264,0.329,0.4,0.729,130,120,0.976,27.4
