Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2006,NL Central,80,82,3,4.62,162,6296,5515,749,1419,291,12,217,718,124,33,614,1192,0.257,0.336,0.432,0.768,128,139,0.979,29.6
2005,NL Central,73,89,5,5.03,163,6321,5565,820,1453,335,15,222,784,72,23,611,1303,0.261,0.339,0.446,0.785,104,133,0.983,28.6
2004,NL Central,76,86,4,4.63,162,6278,5518,750,1380,287,28,194,713,77,25,599,1335,0.25,0.331,0.418,0.749,113,123,0.981,28.4
2003,NL Central,69,93,5,4.28,162,6211,5509,694,1349,239,21,182,669,80,34,524,1326,0.245,0.318,0.395,0.713,141,152,0.977,27.3
2002,NL Central,78,84,3,4.38,162,6254,5470,709,1386,297,21,169,678,116,52,583,1188,0.253,0.33,0.408,0.738,120,169,0.981,27.7
2001,NL Central,66,96,5,4.54,162,6222,5583,735,1464,304,22,176,690,103,54,468,1172,0.262,0.324,0.419,0.744,138,136,0.978,28
2000,NL Central,85,77,2,5.06,163,6373,5635,825,1545,302,36,200,794,100,38,559,995,0.274,0.343,0.447,0.79,111,156,0.982,29.2
1999,NL Central,96,67,2,5.31,163,6378,5649,865,1536,312,37,209,820,164,54,569,1125,0.272,0.341,0.451,0.792,105,139,0.983,28.3
1998,NL Central,77,85,4,4.63,162,6269,5496,750,1441,298,28,138,723,95,42,608,1107,0.262,0.337,0.402,0.739,122,142,0.98,27.5
1997,NL Central,76,86,3,4.02,162,6153,5484,651,1386,269,27,142,612,190,67,518,1113,0.253,0.321,0.389,0.71,106,129,0.982,28.2
1996,NL Central,81,81,3,4.8,162,6214,5455,778,1398,259,36,191,733,171,63,604,1134,0.256,0.331,0.422,0.753,121,145,0.98,29.3
1995,NL Central,85,59,1,5.19,144,5575,4903,747,1326,277,35,161,694,190,68,519,946,0.27,0.342,0.44,0.782,79,140,0.986,28.4
1994,NL Central,66,48,1,5.3,115,4512,3999,609,1142,211,36,124,569,119,51,388,738,0.286,0.35,0.449,0.799,73,91,0.983,28.5
1993,NL West,73,89,5,4.46,162,6164,5517,722,1457,261,28,137,669,142,59,485,1025,0.264,0.324,0.396,0.72,121,133,0.98,28.4
1992,NL West,90,72,2,4.07,162,6162,5460,660,1418,281,44,99,606,125,65,563,888,0.26,0.328,0.382,0.71,96,128,0.984,27.9
1991,NL West,74,88,5,4.25,162,6134,5501,689,1419,250,27,164,654,124,56,488,1006,0.258,0.32,0.403,0.723,125,131,0.979,28.2
1990,NL West,91,71,1,4.28,162,6163,5525,693,1466,284,40,125,644,166,66,466,913,0.265,0.325,0.399,0.724,102,126,0.983,27.5
1989,NL West,75,87,5,3.9,162,6158,5520,632,1362,243,28,128,588,128,71,493,1028,0.247,0.309,0.37,0.68,121,108,0.98,28
1988,NL West,87,74,2,3.98,161,6063,5426,641,1334,246,25,122,588,207,56,479,922,0.246,0.309,0.368,0.677,125,131,0.98,27.5
1987,NL West,84,78,2,4.83,162,6196,5560,783,1478,262,29,192,747,169,46,514,928,0.266,0.33,0.427,0.757,130,137,0.979,28.9
1986,NL West,86,76,2,4.52,162,6246,5536,732,1404,237,35,144,670,177,53,586,920,0.254,0.325,0.387,0.712,140,160,0.978,30.8
1985,NL West,89,72,2,4.18,162,6145,5431,677,1385,249,34,114,634,159,70,576,856,0.255,0.327,0.376,0.703,122,142,0.98,31.5
1984,NL West,70,92,5,3.87,162,6201,5498,627,1342,238,30,106,578,160,63,566,978,0.244,0.313,0.356,0.669,139,116,0.977,29.3
1983,NL West,74,88,6,3.85,162,6059,5333,623,1274,236,35,107,577,154,77,588,1006,0.239,0.314,0.356,0.671,114,121,0.981,27.9
1982,NL West,61,101,6,3.36,162,6100,5479,545,1375,228,34,82,496,131,69,470,817,0.251,0.31,0.35,0.66,128,158,0.98,28.4
1981,NL West,66,42,1,4.3,108,4123,3637,464,972,190,24,64,429,58,37,375,553,0.267,0.335,0.385,0.721,80,99,0.981,29.3
1980,NL West,89,73,3,4.34,163,6209,5516,707,1445,256,45,113,668,156,43,537,852,0.262,0.327,0.386,0.713,106,144,0.983,28.6
1979,NL West,90,71,1,4.54,161,6218,5477,731,1445,266,31,132,686,99,47,614,902,0.264,0.338,0.396,0.734,124,152,0.98,29.4
1978,NL West,92,69,2,4.41,161,6194,5392,710,1378,270,32,136,669,137,58,636,899,0.256,0.334,0.393,0.727,134,120,0.978,29.9
1977,NL West,88,74,2,4.95,162,6265,5524,802,1513,269,42,181,750,170,64,600,911,0.274,0.345,0.436,0.781,95,154,0.984,29.5
1976,NL West,102,60,1,5.29,162,6538,5702,857,1599,271,63,141,802,210,57,681,902,0.28,0.357,0.424,0.781,102,157,0.984,29.1
1975,NL West,108,54,1,5.19,162,6419,5581,840,1515,278,37,124,779,168,36,691,916,0.271,0.353,0.401,0.754,102,173,0.984,28.4
1974,NL West,98,64,2,4.76,163,6373,5535,776,1437,271,35,135,714,146,49,693,940,0.26,0.343,0.394,0.737,134,151,0.979,27.7
1973,NL West,99,63,1,4.57,162,6304,5505,741,1398,232,34,137,686,148,55,639,947,0.254,0.332,0.383,0.715,115,162,0.982,27.7
1972,NL West,95,59,1,4.59,154,6006,5241,707,1317,214,44,124,650,140,63,606,914,0.251,0.33,0.38,0.71,110,143,0.982,27.2
1971,NL West,79,83,4,3.62,162,5976,5414,586,1306,203,28,138,542,59,33,438,907,0.241,0.3,0.366,0.665,103,174,0.984,26.8
1970,NL West,102,60,1,4.78,162,6227,5540,775,1498,253,45,191,726,115,52,547,984,0.27,0.336,0.436,0.772,151,173,0.976,25.9
1969,NL West,89,73,3,4.9,163,6305,5634,798,1558,224,42,171,750,79,56,474,1042,0.277,0.335,0.422,0.757,167,158,0.974,26.3
1968,NL,83,79,4,4.23,163,6287,5767,690,1573,281,36,106,638,59,55,379,938,0.273,0.32,0.389,0.709,144,144,0.978,26.5
1967,NL,87,75,4,3.73,162,6015,5519,604,1366,251,54,109,560,92,63,372,969,0.248,0.297,0.372,0.669,121,124,0.98,26.6
1966,NL,76,84,7,4.33,160,6044,5521,692,1434,232,33,149,651,70,50,394,877,0.26,0.309,0.395,0.704,122,133,0.98,26.3
1965,NL,89,73,4,5.09,162,6356,5658,825,1544,268,61,183,776,82,40,538,1003,0.273,0.339,0.439,0.778,117,142,0.981,26.2
1964,NL,92,70,2,4.05,163,6154,5561,660,1383,220,38,130,605,90,36,457,974,0.249,0.308,0.372,0.68,130,137,0.979,26.1
1963,NL,86,76,5,4,162,6043,5416,648,1333,225,44,122,608,92,58,474,960,0.246,0.31,0.371,0.682,135,127,0.978,26.4
1962,NL,98,64,3,4.95,162,6275,5645,802,1523,252,40,167,745,66,39,498,903,0.27,0.332,0.417,0.749,145,144,0.977,27.2
1961,NL,93,61,1,4.61,154,5796,5243,710,1414,247,35,158,675,70,33,423,761,0.27,0.325,0.421,0.745,134,124,0.977,26.9
